"","linename","seed.num","side.length","side.thickness","side.area","side.perimeter"
"1","IS 11034"," 1","1075.9526","727.7263"," 542834.0","2512"
"2","IS 11034"," 2"," 956.6948","742.5889"," 482373.0","2354"
"3","IS 11034"," 3"," 933.0472","725.7232"," 466731.5","2347"
"4","IS 11034"," 4","1044.7665","736.7197"," 530880.5","2543"
"5","IS 11034"," 5","1105.8689","876.8454"," 691086.0","2730"
"6","IS 11034"," 6"," 960.3255","715.9875"," 491782.5","2389"
"7","IS 11034"," 7"," 842.1318","589.1453"," 350499.0","2052"
"8","IS 11034"," 8"," 904.5275","640.1287"," 415070.0","2156"
"9","IS 11034"," 9"," 939.5132","761.9425"," 499979.5","2389"
"10","IS 11034","10"," 936.1036","676.8471"," 448224.0","2258"
"11","Loussour"," 1","1174.5267","568.8181"," 468648.0","2548"
"12","Loussour"," 2","1174.7157","500.2351"," 415314.0","2524"
"13","Loussour"," 3","1144.4147","562.5653"," 438291.0","2468"
"14","Loussour"," 4","1211.0574","538.1066"," 456906.5","2613"
"15","Loussour"," 5","1067.2980","484.8786"," 375194.0","2360"
"16","Loussour"," 6","1162.0710","588.9098"," 471218.5","2549"
"17","Loussour"," 7","1183.5785","594.8334"," 505161.0","2670"
"18","Loussour"," 8","1283.0483","552.3822"," 471591.0","2794"
"19","Loussour"," 9","1113.9771","532.6016"," 431078.5","2453"
"20","Loussour","10","1168.6993","538.2907"," 420356.5","2517"
"21","MN 4177"," 1","1034.1146","550.3800"," 428167.5","2321"
"22","MN 4177"," 2","1001.0979","577.7407"," 420415.5","2255"
"23","MN 4177"," 3"," 973.8265","560.1265"," 400668.5","2197"
"24","MN 4177"," 4"," 903.8722","430.7954"," 283266.0","1978"
"25","MN 4177"," 5"," 905.4861","450.0323"," 286777.0","1952"
"26","MN 4177"," 6"," 658.8998","396.5398"," 186670.5","1513"
"27","MN 4177"," 7"," 725.4661","400.4240"," 218024.5","1647"
"28","MN 4177"," 8"," 802.5983","389.5847"," 227810.0","1762"
"29","MN 4177"," 9"," 708.1024","414.4994"," 205201.0","1622"
"30","MN 4177","10"," 798.1836","376.4560"," 228378.0","1768"
"31","433"," 1"," 646.1370","333.6320"," 164750.5","1473"
"32","433"," 2"," 679.3622","328.1563"," 170339.5","1511"
"33","433"," 3"," 639.1823","294.1806"," 138939.0","1414"
"34","433"," 4"," 654.1506","331.0201"," 160587.5","1467"
"35","433"," 5"," 628.8346","321.4756"," 154417.0","1422"
"36","433"," 6"," 625.3871","296.5971"," 139235.0","1374"
"37","433"," 7"," 664.7383","273.7077"," 142021.5","1443"
"38","433"," 8"," 613.1313","309.2617"," 136984.5","1329"
"39","433"," 9"," 661.9796","344.6088"," 174973.5","1511"
"40","433","10"," 649.9261","313.6326"," 153386.0","1436"
"41","NYIRARUMOGO"," 1"," 946.0159","648.1879"," 453267.0","2238"
"42","NYIRARUMOGO"," 2","1001.2397","796.7383"," 567767.5","2445"
"43","NYIRARUMOGO"," 3"," 959.3258","665.2276"," 461097.0","2278"
"44","NYIRARUMOGO"," 4","1011.1627","823.7794"," 592312.0","2506"
"45","NYIRARUMOGO"," 5","1026.3182","766.8558"," 569750.5","2491"
"46","NYIRARUMOGO"," 6"," 941.8333","681.5346"," 467429.0","2226"
"47","NYIRARUMOGO"," 7"," 954.7565","761.2014"," 521407.0","2402"
"48","NYIRARUMOGO"," 8"," 981.5422","812.6090"," 575366.0","2466"
"49","NYIRARUMOGO"," 9"," 989.0303","801.5093"," 554787.0","2428"
"50","NYIRARUMOGO","10","1008.7542","691.4678"," 496925.0","2364"
"51","Witiki"," 1"," 887.2440","430.2739"," 276920.5","1907"
"52","Witiki"," 2"," 945.0249","421.5423"," 295220.5","2059"
"53","Witiki"," 3"," 921.1802","431.3401"," 291636.0","1976"
"54","Witiki"," 4"," 907.9873","431.2351"," 291680.0","1986"
"55","Witiki"," 5"," 925.7456","431.9783"," 290648.0","2024"
"56","Witiki"," 6"," 892.9647","417.9448"," 265149.0","1904"
"57","Witiki"," 7"," 830.8887","415.8656"," 245498.0","1796"
"58","Witiki"," 8"," 858.3432","390.7004"," 235841.5","1839"
"59","Witiki"," 9"," 895.5161","417.2209"," 270598.0","1906"
"60","Witiki","10"," 975.9877","453.5160"," 331338.0","2128"
"61","HONGKER"," 1"," 856.9463","508.7133"," 343815.5","2041"
"62","HONGKER"," 2"," 959.4676","557.4237"," 402859.5","2207"
"63","HONGKER"," 3"," 976.5347","574.8019"," 427891.0","2252"
"64","HONGKER"," 4"," 847.2745","472.5789"," 315918.0","1976"
"65","HONGKER"," 5"," 945.7447","530.8906"," 379117.0","2156"
"66","HONGKER"," 6"," 908.1525","506.4524"," 356039.5","2089"
"67","HONGKER"," 7"," 890.0994","455.4222"," 314850.0","2010"
"68","HONGKER"," 8"," 909.5565","534.0999"," 379192.0","2144"
"69","HONGKER"," 9"," 768.8381","454.2257"," 267462.0","1794"
"70","HONGKER","10"," 858.7974","484.0862"," 336032.0","2036"
"71","RAHMETALLA GALLABAT"," 1","1101.5357","796.0132"," 619590.0","2558"
"72","RAHMETALLA GALLABAT"," 2","1098.2204","716.8925"," 562964.0","2554"
"73","RAHMETALLA GALLABAT"," 3"," 972.2968","718.0308"," 507098.5","2405"
"74","RAHMETALLA GALLABAT"," 4"," 939.1826","766.9776"," 530975.0","2537"
"75","RAHMETALLA GALLABAT"," 5","1073.3126","792.4625"," 597918.0","2665"
"76","RAHMETALLA GALLABAT"," 6"," 959.9708","621.7606"," 461643.5","2337"
"77","RAHMETALLA GALLABAT"," 7"," 957.3066","595.1740"," 413341.5","2219"
"78","RAHMETALLA GALLABAT"," 8","1032.3260","625.6773"," 469232.0","2412"
"79","RAHMETALLA GALLABAT"," 9"," 992.9597","727.6982"," 566951.0","2488"
"80","RAHMETALLA GALLABAT","10"," 957.2257","774.2218"," 561932.0","2422"
"81","65I 2786"," 1","1030.5591","724.5562"," 552400.0","2510"
"82","65I 2786"," 2","1032.6984","645.8275"," 483761.5","2387"
"83","65I 2786"," 3","1092.1035","823.0603"," 644981.5","2687"
"84","65I 2786"," 4","1113.3104","782.1467"," 647939.0","2644"
"85","65I 2786"," 5","1163.9798","836.3650"," 707946.5","2795"
"86","65I 2786"," 6","1034.4564","768.4210"," 582391.5","2503"
"87","65I 2786"," 7","1039.2598","620.4329"," 445917.5","2383"
"88","65I 2786"," 8","1036.2287","736.8585"," 545515.0","2540"
"89","65I 2786"," 9","1036.0931","727.2503"," 551887.0","2434"
"90","65I 2786","10","1022.0690","773.6513"," 565824.5","2509"
"91","IS 24957"," 1","1121.2729","545.3793"," 449015.5","2455"
"92","IS 24957"," 2","1210.3429","594.9768"," 516406.5","2637"
"93","IS 24957"," 3","1191.8309","576.3661"," 490374.0","2520"
"94","IS 24957"," 4","1046.7268","510.5286"," 380757.0","2246"
"95","IS 24957"," 5","1165.6706","590.6180"," 498688.0","2528"
"96","IS 24957"," 6"," 990.3898","510.9624"," 389907.0","2200"
"97","IS 24957"," 7","1130.5242","631.1868"," 544704.5","2589"
"98","IS 24957"," 8","1042.4596","558.7190"," 421721.0","2326"
"99","IS 24957"," 9","1163.1767","642.1759"," 535932.5","2577"
"100","IS 24957","10","1116.7618","572.0530"," 445856.5","2353"
"101","LR 399"," 1","1075.0972","611.2219"," 455051.5","2411"
"102","LR 399"," 2","1164.5566","601.4238"," 510773.0","2586"
"103","LR 399"," 3","1068.4465","628.2823"," 469082.0","2366"
"104","LR 399"," 4","1082.4218","624.5828"," 465351.5","2447"
"105","LR 399"," 5","1103.9860","585.2303"," 461294.0","2484"
"106","LR 399"," 6","1126.1692","618.3174"," 498624.0","2498"
"107","LR 399"," 7","1084.1716","592.1480"," 449158.0","2412"
"108","LR 399"," 8","1186.4792","673.4404"," 551979.5","2661"
"109","LR 399"," 9","1100.2841","599.9024"," 487210.5","2491"
"110","LR 399","10"," 830.4433","638.0568"," 373125.0","1982"
"111","IS 8267"," 1","1034.4801","641.5909"," 511840.0","2468"
"112","IS 8267"," 2"," 959.7526","607.6775"," 424978.5","2305"
"113","IS 8267"," 3"," 960.1276","659.2957"," 460428.0","2258"
"114","IS 8267"," 4","1015.2133","617.0103"," 473670.5","2399"
"115","IS 8267"," 5","1027.0759","622.8536"," 496510.5","2495"
"116","IS 8267"," 6","1055.3867","589.5119"," 470081.0","2440"
"117","IS 8267"," 7","1056.0402","625.8587"," 503443.0","2470"
"118","IS 8267"," 8","1042.3382","612.1564"," 492769.5","2463"
"119","IS 8267"," 9","1055.4340","638.3165"," 493870.0","2438"
"120","IS 8267","10","1099.8077","634.6418"," 526740.0","2538"
"121","B.Tx2921"," 1","1142.8149","712.3568"," 605766.5","2615"
"122","B.Tx2921"," 2","1141.4802","680.9352"," 558291.5","2517"
"123","B.Tx2921"," 3","1189.8727","705.1200"," 615009.5","2619"
"124","B.Tx2921"," 4","1128.0448","620.0720"," 524145.0","2484"
"125","B.Tx2921"," 5","1123.5128","645.0456"," 532036.5","2483"
"126","B.Tx2921"," 6","1104.0222","632.2500"," 521140.0","2468"
"127","B.Tx2921"," 7","1101.4472","667.5581"," 550622.0","2468"
"128","B.Tx2921"," 8","1048.2237","629.5335"," 484534.0","2358"
"129","B.Tx2921"," 9","1165.6813","641.0260"," 531311.0","2596"
"130","B.Tx2921","10","1220.2463","693.3109"," 607943.0","2662"
"131","B.Tx2922"," 1","1168.0967","629.2938"," 533930.0","2630"
"132","B.Tx2922"," 2","1164.7905","691.1706"," 603573.0","2690"
"133","B.Tx2922"," 3","1155.7963","673.2060"," 594456.0","2638"
"134","B.Tx2922"," 4","1229.1107","651.9201"," 596734.0","2710"
"135","B.Tx2922"," 5","1208.8714","693.4410"," 629689.0","2770"
"136","B.Tx2922"," 6","1005.2686","617.9095"," 475275.5","2377"
"137","B.Tx2922"," 7","1104.1327","571.3063"," 465238.5","2461"
"138","B.Tx2922"," 8","1141.0960","654.9931"," 551410.0","2596"
"139","B.Tx2922"," 9","1086.6007","568.0946"," 441932.5","2397"
"140","B.Tx2922","10","1138.6066","563.0127"," 476361.0","2520"
"141","B.Tx2925"," 1","1087.8097","573.4385"," 458525.0","2378"
"142","B.Tx2925"," 2","1098.6109","552.2510"," 463734.0","2444"
"143","B.Tx2925"," 3","1068.1217","539.5321"," 448004.0","2374"
"144","B.Tx2925"," 4","1122.8718","521.9866"," 450783.0","2460"
"145","B.Tx2925"," 5","1053.9568","535.6956"," 407925.5","2267"
"146","B.Tx2925"," 6"," 837.7350","429.7397"," 273244.0","1866"
"147","B.Tx2925"," 7","1036.1206","551.2910"," 422222.5","2265"
"148","B.Tx2925"," 8","1010.2366","533.4760"," 407036.0","2292"
"149","B.Tx2925"," 9","1023.1955","500.0247"," 372384.5","2203"
"150","B.Tx2925","10"," 948.9684","601.7081"," 408793.5","2175"
"151","RTx432"," 1","1098.4812","581.8388"," 464086.0","2400"
"152","RTx432"," 2","1032.7323","545.0202"," 420114.5","2277"
"153","RTx432"," 3","1042.2404","521.6541"," 401143.5","2251"
"154","RTx432"," 4","1026.4989","557.6002"," 440167.5","2379"
"155","RTx432"," 5","1040.6868","527.4940"," 415358.5","2291"
"156","RTx432"," 6"," 965.0000","525.3119"," 377407.5","2153"
"157","RTx432"," 7","1031.5178","620.2297"," 465737.0","2380"
"158","RTx432"," 8"," 968.6924","557.5867"," 404034.0","2238"
"159","RTx432"," 9"," 990.8264","561.9804"," 400829.0","2194"
"160","RTx432","10","1012.1368","616.8198"," 477211.5","2377"
"161","Mashila"," 1","1021.1998","590.5759"," 444194.5","2319"
"162","Mashila"," 2"," 960.4546","604.8292"," 434639.0","2244"
"163","Mashila"," 3"," 965.1912","562.2358"," 407401.5","2225"
"164","Mashila"," 4"," 989.2750","563.0133"," 415939.5","2219"
"165","Mashila"," 5","1076.1952","630.7183"," 523277.0","2472"
"166","Mashila"," 6"," 840.7312","487.0784"," 294652.5","1917"
"167","Mashila"," 7"," 921.3034","511.1628"," 343217.0","2062"
"168","Mashila"," 8","1014.7433","560.6955"," 420009.0","2232"
"169","Mashila"," 9"," 948.0274","482.6232"," 320410.5","2081"
"170","Mashila","10","1003.4266","603.0306"," 454667.5","2289"
"171","B2AR3043"," 1","1178.0819","677.8731"," 595815.5","2697"
"172","B2AR3043"," 2","1176.9949","757.8605"," 653318.0","2774"
"173","B2AR3043"," 3","1126.9392","735.6244"," 555685.0","2547"
"174","B2AR3043"," 4","1161.1761","735.1848"," 592114.5","2610"
"175","B2AR3043"," 5","1060.2735","590.4024"," 474890.5","2481"
"176","B2AR3043"," 6","1126.7249","685.6820"," 582442.0","2602"
"177","B2AR3043"," 7","1089.6628","737.9466"," 609116.0","2574"
"178","B2AR3043"," 8","1135.3281","634.0616"," 538373.0","2684"
"179","B2AR3043"," 9","1147.6315","714.9290"," 601175.5","2617"
"180","B2AR3043","10","1186.1269","693.8204"," 604232.0","2661"
"181","8493"," 1"," 973.5548","569.9915"," 425233.5","2269"
"182","8493"," 2"," 937.9211","543.8709"," 385603.5","2143"
"183","8493"," 3"," 910.7014","548.6628"," 375662.5","2103"
"184","8493"," 4"," 922.7622","522.2646"," 358745.0","2072"
"185","8493"," 5"," 932.5948","493.8222"," 343577.5","2115"
"186","8493"," 6"," 957.3484","573.3983"," 404982.0","2172"
"187","8493"," 7"," 962.3149","607.3615"," 435430.0","2230"
"188","8493"," 8"," 944.5136","575.8138"," 415084.5","2181"
"189","8493"," 9"," 930.7121","508.7492"," 358829.0","2102"
"190","8493","10"," 916.3324","525.7514"," 362236.5","2067"
"191","R2line AR 3032"," 1"," 986.6803","724.0370"," 531378.0","2370"
"192","R2line AR 3032"," 2"," 964.3039","773.9790"," 540656.5","2357"
"193","R2line AR 3032"," 3","1075.5510","824.5383"," 651277.0","2554"
"194","R2line AR 3032"," 4"," 949.6831","683.9629"," 450499.5","2169"
"195","R2line AR 3032"," 5","1053.3893","744.3649"," 540043.0","2362"
"196","R2line AR 3032"," 6"," 910.7579","708.6735"," 460188.0","2134"
"197","R2line AR 3032"," 7"," 933.4495","668.8010"," 459359.0","2278"
"198","R2line AR 3032"," 8"," 991.1574","762.8082"," 566650.5","2413"
"199","R2line AR 3032"," 9"," 926.7907","663.4572"," 483823.5","2249"
"200","R2line AR 3032","10","1013.8126","747.6332"," 562354.5","2415"
"201","FETERITA HARIG 2"," 1","1132.2694","676.7347"," 584508.0","2601"
"202","FETERITA HARIG 2"," 2","1066.4305","608.4616"," 447405.5","2284"
"203","FETERITA HARIG 2"," 3","1112.3241","717.8114"," 564176.5","2539"
"204","FETERITA HARIG 2"," 4","1086.1206","598.9372"," 482480.5","2565"
"205","FETERITA HARIG 2"," 5","1067.0731","561.8706"," 446580.0","2384"
"206","FETERITA HARIG 2"," 6","1029.2716","623.6741"," 474819.5","2335"
"207","FETERITA HARIG 2"," 7","1042.7627","523.8220"," 390816.5","2256"
"208","FETERITA HARIG 2"," 8","1014.5699","564.5782"," 438293.5","2394"
"209","FETERITA HARIG 2"," 9","1082.1114","570.1788"," 443405.5","2359"
"210","FETERITA HARIG 2","10"," 987.0866","545.0099"," 391226.5","2192"
"211","NYAN DOK"," 1","1077.6386","419.7752"," 323084.0","2216"
"212","NYAN DOK"," 2","1088.6657","414.5414"," 332777.5","2324"
"213","NYAN DOK"," 3","1073.2353","383.6586"," 313739.5","2249"
"214","NYAN DOK"," 4","1071.7052","405.6171"," 330733.0","2260"
"215","NYAN DOK"," 5","1060.7191","363.5270"," 286310.5","2247"
"216","NYAN DOK"," 6","1037.2680","427.5664"," 315393.0","2200"
"217","NYAN DOK"," 7","1084.3823","371.6365"," 285224.5","2257"
"218","NYAN DOK"," 8","1069.7383","438.7671"," 340455.0","2264"
"219","NYAN DOK"," 9","1076.9522","398.7197"," 305587.0","2218"
"220","NYAN DOK","10","1084.1462","434.2855"," 338083.0","2260"
"221","RTx430"," 1","1185.7234","747.5976"," 644974.5","2689"
"222","RTx430"," 2","1039.5432","676.6924"," 523033.5","2457"
"223","RTx430"," 3","1052.1868","755.1311"," 628273.0","2624"
"224","RTx430"," 4","1046.2820","705.3921"," 566748.0","2544"
"225","RTx430"," 5","1059.3135","730.3240"," 576175.0","2496"
"226","RTx430"," 6","1042.9099","737.9631"," 579469.0","2556"
"227","RTx430"," 7","1060.0000","677.7547"," 507329.5","2459"
"228","RTx430"," 8"," 945.4311","662.8003"," 429335.0","2268"
"229","RTx430"," 9","1071.4126","676.5433"," 534685.5","2497"
"230","RTx430","10","1185.2941","784.0662"," 682549.0","2772"
"231","B3Tx2817"," 1","1061.9021","680.9743"," 541338.0","2498"
"232","B3Tx2817"," 2"," 996.8851","655.4777"," 478255.5","2349"
"233","B3Tx2817"," 3","1042.0101","638.9775"," 493442.5","2379"
"234","B3Tx2817"," 4"," 986.5465","605.6035"," 458969.0","2344"
"235","B3Tx2817"," 5"," 905.8002","613.4841"," 416893.0","2158"
"236","B3Tx2817"," 6"," 834.9036","497.9377"," 306797.0","1920"
"237","B3Tx2817"," 7"," 906.6184","595.8030"," 426777.0","2206"
"238","B3Tx2817"," 8"," 884.9774","525.1637"," 339940.5","2041"
"239","B3Tx2817"," 9"," 832.9826","468.7685"," 295948.0","1860"
"240","B3Tx2817","10"," 786.6924","564.0947"," 342844.0","1920"
"241","B3 BTx3197"," 1","1082.7026","681.2628"," 520029.0","2448"
"242","B3 BTx3197"," 2","1015.1217","617.2639"," 473743.5","2311"
"243","B3 BTx3197"," 3","1110.9514","647.9941"," 492992.0","2476"
"244","B3 BTx3197"," 4","1073.7830","552.1199"," 413580.0","2364"
"245","B3 BTx3197"," 5","1159.3326","827.0276"," 646579.5","2743"
"246","B3 BTx3197"," 6","1102.8781","623.6138"," 496339.5","2469"
"247","B3 BTx3197"," 7","1114.0673","770.9812"," 631917.0","2670"
"248","B3 BTx3197"," 8","1119.3016","584.5449"," 469735.5","2465"
"249","B3 BTx3197"," 9","1065.9873","568.3623"," 445573.5","2411"
"250","B3 BTx3197","10","1130.8484","652.5305"," 548459.0","2532"
"251","RIO"," 1"," 979.3574","553.3720"," 404913.5","2253"
"252","RIO"," 2","1001.9865","567.5855"," 427698.0","2280"
"253","RIO"," 3"," 985.5861","536.3712"," 371428.5","2225"
"254","RIO"," 4"," 973.3576","586.9795"," 416071.5","2217"
"255","RIO"," 5","1050.8706","589.8557"," 465118.5","2377"
"256","RIO"," 6"," 959.6176","549.7929"," 399801.5","2193"
"257","RIO"," 7"," 962.6240","509.2435"," 364341.5","2131"
"258","RIO"," 8","1007.5495","579.6281"," 422917.5","2245"
"259","RIO"," 9"," 975.6992","575.9459"," 407777.5","2213"
"260","RIO","10","1063.3504","632.9626"," 495737.0","2370"
"261","ITALIAN"," 1","1054.5677","630.4982"," 484225.5","2359"
"262","ITALIAN"," 2","1048.3249","635.1295"," 482824.0","2330"
"263","ITALIAN"," 3"," 953.1862","615.0278"," 427988.0","2214"
"264","ITALIAN"," 4"," 987.4918","632.2139"," 450083.5","2243"
"265","ITALIAN"," 5","1009.3468","632.2445"," 453742.5","2253"
"266","ITALIAN"," 6","1030.0277","647.1030"," 470443.0","2270"
"267","ITALIAN"," 7"," 913.4221","554.6154"," 357337.5","2061"
"268","ITALIAN"," 8","1076.5956","644.1741"," 492023.0","2370"
"269","ITALIAN"," 9"," 965.6112","624.5236"," 430840.0","2176"
"270","ITALIAN","10"," 974.4947","545.4806"," 391002.5","2165"
"271","ITALIAN"," 1"," 870.7589","583.1281"," 396014.5","2115"
"272","ITALIAN"," 2"," 971.8030","654.1666"," 454732.0","2208"
"273","ITALIAN"," 3","1029.8971","526.9730"," 401853.0","2208"
"274","ITALIAN"," 4"," 939.3381","525.9661"," 365799.5","2119"
"275","ITALIAN"," 5"," 987.4659","531.8361"," 381718.0","2154"
"276","ITALIAN"," 6"," 991.2033","588.1155"," 414119.5","2245"
"277","ITALIAN"," 7"," 942.8452","592.5703"," 403975.0","2130"
"278","ITALIAN"," 8"," 835.0006","612.8606"," 381692.5","2005"
"279","ITALIAN"," 9"," 878.3826","474.0508"," 312330.0","1954"
"280","ITALIAN","10"," 947.7347","591.6107"," 406056.5","2129"
"281","BTx623"," 1","1100.5253","590.9142"," 488921.0","2462"
"282","BTx623"," 2","1101.5557","564.6469"," 467901.0","2450"
"283","BTx623"," 3","1018.9549","531.3013"," 414768.5","2329"
"284","BTx623"," 4","1109.0162","570.9123"," 471107.5","2427"
"285","BTx623"," 5","1109.6558","558.5011"," 480457.5","2473"
"286","BTx623"," 6"," 979.9633","537.5263"," 386551.0","2204"
"287","BTx623"," 7"," 993.0987","498.4087"," 388226.5","2225"
"288","BTx623"," 8","1076.9369","539.0725"," 428851.0","2332"
"289","BTx623"," 9","1050.5094","524.7350"," 387694.0","2246"
"290","BTx623","10","1176.3758","613.6015"," 522271.5","2535"
"291","PERSIAN DWARF"," 1","1115.7818","654.4210"," 519270.0","2472"
"292","PERSIAN DWARF"," 2","1099.1383","563.7607"," 458742.5","2453"
"293","PERSIAN DWARF"," 3","1107.6520","602.2018"," 495878.0","2482"
"294","PERSIAN DWARF"," 4","1163.2128","631.6867"," 530075.5","2563"
"295","PERSIAN DWARF"," 5","1070.7988","643.3142"," 489686.5","2421"
"296","PERSIAN DWARF"," 6","1077.6776","572.9673"," 435507.0","2328"
"297","PERSIAN DWARF"," 7","1011.6724","576.5483"," 416311.0","2244"
"298","PERSIAN DWARF"," 8"," 982.8489","543.2188"," 387623.0","2174"
"299","PERSIAN DWARF"," 9","1060.2835","573.6872"," 437449.5","2343"
"300","PERSIAN DWARF","10","1039.0236","599.9180"," 443655.0","2296"
"301","CAPRICORN"," 1","1066.7188","758.8298"," 578287.5","2513"
"302","CAPRICORN"," 2","1037.9557","748.7102"," 554460.0","2484"
"303","CAPRICORN"," 3"," 947.8043","628.0168"," 431018.0","2204"
"304","CAPRICORN"," 4"," 997.3089","680.0050"," 483698.0","2306"
"305","CAPRICORN"," 5","1023.4110","719.0503"," 509884.5","2355"
"306","CAPRICORN"," 6"," 943.3896","704.2096"," 465284.5","2195"
"307","CAPRICORN"," 7"," 743.8743","523.4433"," 292777.5","1795"
"308","CAPRICORN"," 8"," 973.7618","610.7202"," 427176.0","2222"
"309","CAPRICORN"," 9","1027.0312","718.9792"," 506985.0","2390"
"310","CAPRICORN","10","1044.8445","714.2958"," 525345.5","2377"
"311","THIMBA RED"," 1"," 879.3918","684.2365"," 424521.5","2127"
"312","THIMBA RED"," 2"," 833.6168","638.8511"," 375832.5","2025"
"313","THIMBA RED"," 3"," 855.0164","664.8294"," 391689.5","2083"
"314","THIMBA RED"," 4"," 874.7005","656.1949"," 404651.5","2133"
"315","THIMBA RED"," 5"," 917.5821","688.9596"," 436194.5","2209"
"316","THIMBA RED"," 6"," 866.6856","669.6523"," 413385.0","2102"
"317","THIMBA RED"," 7"," 851.8879","638.1579"," 394300.5","2157"
"318","THIMBA RED"," 8"," 824.5302","678.6168"," 396137.5","2073"
"319","THIMBA RED"," 9"," 789.3827","658.8060"," 365087.0","1980"
"320","THIMBA RED","10"," 808.0842","650.8481"," 369800.5","2049"
"321","15065"," 1","1250.2552","746.1637"," 668068.0","2950"
"322","15065"," 2","1169.8055","699.7821"," 597913.0","2780"
"323","15065"," 3","1260.5495","753.4754"," 692772.0","3018"
"324","15065"," 4","1035.2140","610.2738"," 443054.0","2378"
"325","15065"," 5","1230.3016","749.4406"," 677111.0","2966"
"326","15065"," 6","1206.8612","747.1820"," 659112.5","2857"
"327","15065"," 7","1258.4506","686.7325"," 627450.0","2922"
"328","15065"," 8","1044.3486","648.9155"," 490148.5","2449"
"329","15065"," 9","1033.7509","624.0033"," 425777.5","2387"
"330","15065","10"," 953.4280","654.1647"," 451750.0","2302"
"331","SAP-155"," 1","1029.6378","566.7119"," 434239.0","2374"
"332","SAP-155"," 2"," 998.7617","581.6753"," 436302.5","2303"
"333","SAP-155"," 3"," 985.3730","517.0834"," 376760.0","2196"
"334","SAP-155"," 4","1071.2983","587.2202"," 454983.5","2369"
"335","SAP-155"," 5","1025.9396","547.1063"," 401273.0","2262"
"336","SAP-155"," 6","1015.2635","638.9592"," 485219.5","2393"
"337","SAP-155"," 7"," 998.8959","542.5300"," 382935.5","2255"
"338","SAP-155"," 8","1058.1139","574.7434"," 438615.0","2372"
"339","SAP-155"," 9"," 917.8802","495.1866"," 326969.5","2049"
"340","SAP-155","10"," 973.4988","561.0238"," 401268.0","2230"
"341","CE260-12-1-1"," 1","1207.5868","587.9296"," 512267.0","2656"
"342","CE260-12-1-1"," 2","1186.7814","568.1097"," 490796.5","2611"
"343","CE260-12-1-1"," 3","1151.4604","626.1961"," 515149.0","2562"
"344","CE260-12-1-1"," 4","1290.7401","594.9292"," 547200.0","2782"
"345","CE260-12-1-1"," 5","1208.8755","573.5512"," 500019.5","2635"
"346","CE260-12-1-1"," 6","1044.6071","545.1428"," 399410.0","2296"
"347","CE260-12-1-1"," 7","1033.6271","527.8557"," 411727.5","2313"
"348","CE260-12-1-1"," 8","1080.2148","566.4836"," 428255.5","2395"
"349","CE260-12-1-1"," 9","1127.5974","573.5203"," 442257.5","2443"
"350","CE260-12-1-1","10","1246.5428","608.5230"," 553345.0","2700"
"351","RCV"," 1","1180.6917","679.2484"," 616668.5","2804"
"352","RCV"," 2","1106.4109","682.2646"," 577118.5","2571"
"353","RCV"," 3","1162.8246","670.0297"," 581349.5","2648"
"354","RCV"," 4","1189.5159","683.4949"," 618099.0","2772"
"355","RCV"," 5","1088.6951","575.8619"," 472759.5","2465"
"356","RCV"," 6","1187.3892","768.5130"," 692584.5","2835"
"357","RCV"," 7","1022.7986","548.3015"," 422337.0","2286"
"358","RCV"," 8","1173.2233","686.2905"," 573136.0","2592"
"359","RCV"," 9","1193.5401","657.2582"," 586964.0","2718"
"360","RCV","10","1035.0961","610.9732"," 485965.0","2421"
"361","93560"," 1"," 942.7964","694.6908"," 471432.5","2313"
"362","93560"," 2","1140.0969","733.8595"," 608850.5","2633"
"363","93560"," 3","1086.6030","630.2440"," 506654.0","2478"
"364","93560"," 4","1042.9199","754.1288"," 564762.5","2545"
"365","93560"," 5"," 965.4025","667.4480"," 451504.0","2226"
"366","93560"," 6","1038.6395","729.2848"," 546310.0","2390"
"367","93560"," 7"," 999.4258","696.8121"," 515507.0","2378"
"368","93560"," 8"," 956.2432","670.2981"," 465870.5","2229"
"369","93560"," 9"," 990.8905","653.9875"," 453281.0","2264"
"370","93560","10","1019.8863","671.4415"," 503102.5","2361"
"371","BTx642"," 1"," 983.3662","643.4673"," 456482.0","2300"
"372","BTx642"," 2"," 949.0969","675.8583"," 459011.5","2233"
"373","BTx642"," 3"," 986.8941","702.2111"," 496993.0","2328"
"374","BTx642"," 4"," 995.3894","641.2767"," 450879.0","2246"
"375","BTx642"," 5"," 971.3563","664.3505"," 469981.0","2248"
"376","BTx642"," 6"," 999.5379","649.0199"," 462280.5","2287"
"377","BTx642"," 7"," 936.2265","653.5897"," 439723.0","2194"
"378","BTx642"," 8"," 982.3655","651.5324"," 451915.5","2301"
"379","BTx642"," 9","1011.4277","661.0102"," 470003.0","2316"
"380","BTx642","10","1027.3772","697.3213"," 507013.5","2389"
"381","OOTOYO-MURA ZAIRAI"," 1"," 973.9661","660.8905"," 479253.0","2302"
"382","OOTOYO-MURA ZAIRAI"," 2"," 988.3689","601.9139"," 449795.5","2335"
"383","OOTOYO-MURA ZAIRAI"," 3"," 979.7234","660.5558"," 486162.5","2365"
"384","OOTOYO-MURA ZAIRAI"," 4","1023.5355","690.0376"," 525353.5","2455"
"385","OOTOYO-MURA ZAIRAI"," 5"," 975.2441","691.6710"," 510716.0","2392"
"386","OOTOYO-MURA ZAIRAI"," 6"," 934.2296","597.2836"," 424401.5","2153"
